"filename", "language", "JavaScript", "CSS", "JSON", "JSON with Comments", "XML", "Markdown", "CSV", "comment", "blank", "total"
"j:\razer-shop-page\public\Icons\cart\razerstore_icon.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"j:\razer-shop-page\public\Icons\cart\signin_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\discord.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\exclusives-icon.svg", "XML", 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"j:\razer-shop-page\public\Icons\facebook.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\first-dibs-icon.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"j:\razer-shop-page\public\Icons\insider.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"j:\razer-shop-page\public\Icons\instagram.svg", "XML", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"j:\razer-shop-page\public\Icons\largest-array-icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\login.svg", "XML", 0, 0, 0, 0, 20, 0, 0, 1, 0, 21
"j:\razer-shop-page\public\Icons\razer-logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\shopping-cart.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\threads.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"j:\razer-shop-page\public\Icons\tiktok.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"j:\razer-shop-page\public\Icons\twitch.svg", "XML", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"j:\razer-shop-page\public\Icons\twitter.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\youtube.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\public\logos\apple.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"j:\razer-shop-page\public\logos\facebook.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"j:\razer-shop-page\public\logos\google.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"j:\razer-shop-page\public\logos\twitch.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"j:\razer-shop-page\public\logos\wechat.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"j:\razer-shop-page\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\services\api.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"j:\razer-shop-page\services\replaceNumber.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"j:\razer-shop-page\styles\Home.module.css", "CSS", 0, 195, 0, 0, 0, 0, 0, 3, 32, 230
"j:\razer-shop-page\styles\fonts.css", "CSS", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"j:\razer-shop-page\styles\globals.css", "CSS", 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"j:\razer-shop-page\styles\shopStyle.module.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"Total", "-", 1867, 1437, 5154, 7, 194, 189, 86, 12, 514, 9460
